"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","05.01.2022 23:00 - 06.01.2022 00:00 (CET/CEST)","4","14"
"BZN|ES","07.01.2022 00:00 - 07.01.2022 01:00 (CET/CEST)","14","121"
"BZN|ES","07.01.2022 01:00 - 07.01.2022 02:00 (CET/CEST)","14","121"
"BZN|ES","07.01.2022 02:00 - 07.01.2022 03:00 (CET/CEST)","14","108"
"BZN|ES","07.01.2022 03:00 - 07.01.2022 04:00 (CET/CEST)","14","81"
"BZN|ES","07.01.2022 04:00 - 07.01.2022 05:00 (CET/CEST)","14","81"
"BZN|ES","07.01.2022 05:00 - 07.01.2022 06:00 (CET/CEST)","14","81"
"BZN|ES","07.01.2022 06:00 - 07.01.2022 07:00 (CET/CEST)","15","81"
"BZN|ES","07.01.2022 07:00 - 07.01.2022 08:00 (CET/CEST)","15","81"
"BZN|ES","07.01.2022 08:00 - 07.01.2022 09:00 (CET/CEST)","83","134"
"BZN|ES","07.01.2022 09:00 - 07.01.2022 10:00 (CET/CEST)","2060","2248"
"BZN|ES","07.01.2022 10:00 - 07.01.2022 11:00 (CET/CEST)","5437","5322"
"BZN|ES","07.01.2022 11:00 - 07.01.2022 12:00 (CET/CEST)","7297","6686"
"BZN|ES","07.01.2022 12:00 - 07.01.2022 13:00 (CET/CEST)","8165","7136"
"BZN|ES","07.01.2022 13:00 - 07.01.2022 14:00 (CET/CEST)","8281","6934"
"BZN|ES","07.01.2022 14:00 - 07.01.2022 15:00 (CET/CEST)","8391","6501"
"BZN|ES","07.01.2022 15:00 - 07.01.2022 16:00 (CET/CEST)","8283","5655"
"BZN|ES","07.01.2022 16:00 - 07.01.2022 17:00 (CET/CEST)","6556","3653"
"BZN|ES","07.01.2022 17:00 - 07.01.2022 18:00 (CET/CEST)","2517","1260"
"BZN|ES","07.01.2022 18:00 - 07.01.2022 19:00 (CET/CEST)","417","132"
"BZN|ES","07.01.2022 19:00 - 07.01.2022 20:00 (CET/CEST)","164","38"
"BZN|ES","07.01.2022 20:00 - 07.01.2022 21:00 (CET/CEST)","133","35"
