"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","03.01.2024 07:15 - 03.01.2024 07:30 (CET/CEST)","4","4"
"BZN|ES","03.01.2024 07:30 - 03.01.2024 07:45 (CET/CEST)","4","4"
"BZN|ES","03.01.2024 07:45 - 03.01.2024 08:00 (CET/CEST)","4","4"
"BZN|ES","03.01.2024 08:00 - 03.01.2024 08:15 (CET/CEST)","4","4"
"BZN|ES","03.01.2024 08:15 - 03.01.2024 08:30 (CET/CEST)","8","8"
"BZN|ES","03.01.2024 08:30 - 03.01.2024 08:45 (CET/CEST)","12","16"
"BZN|ES","03.01.2024 08:45 - 03.01.2024 09:00 (CET/CEST)","52","84"
"BZN|ES","03.01.2024 09:00 - 03.01.2024 09:15 (CET/CEST)","192","224"
"BZN|ES","03.01.2024 09:15 - 03.01.2024 09:30 (CET/CEST)","460","532"
"BZN|ES","03.01.2024 09:30 - 03.01.2024 09:45 (CET/CEST)","948","948"
"BZN|ES","03.01.2024 09:45 - 03.01.2024 10:00 (CET/CEST)","1448","1348"
"BZN|ES","03.01.2024 10:00 - 03.01.2024 10:15 (CET/CEST)","1976","1808"
"BZN|ES","03.01.2024 10:15 - 03.01.2024 10:30 (CET/CEST)","2568","2268"
"BZN|ES","03.01.2024 10:30 - 03.01.2024 10:45 (CET/CEST)","3084","2516"
"BZN|ES","03.01.2024 10:45 - 03.01.2024 11:00 (CET/CEST)","3652","2716"
"BZN|ES","03.01.2024 11:00 - 03.01.2024 11:15 (CET/CEST)","4116","2864"
"BZN|ES","03.01.2024 11:15 - 03.01.2024 11:30 (CET/CEST)","4328","3180"
"BZN|ES","03.01.2024 11:30 - 03.01.2024 11:45 (CET/CEST)","4800","3492"
"BZN|ES","03.01.2024 11:45 - 03.01.2024 12:00 (CET/CEST)","5072","3532"
"BZN|ES","03.01.2024 12:00 - 03.01.2024 12:15 (CET/CEST)","5208","3768"
"BZN|ES","03.01.2024 12:15 - 03.01.2024 12:30 (CET/CEST)","5588","4180"
"BZN|ES","03.01.2024 12:30 - 03.01.2024 12:45 (CET/CEST)","5928","4328"
"BZN|ES","03.01.2024 12:45 - 03.01.2024 13:00 (CET/CEST)","6064","4340"
"BZN|ES","03.01.2024 13:00 - 03.01.2024 13:15 (CET/CEST)","6240","4264"
"BZN|ES","03.01.2024 13:15 - 03.01.2024 13:30 (CET/CEST)","6316","4076"
"BZN|ES","03.01.2024 13:30 - 03.01.2024 13:45 (CET/CEST)","6152","4096"
"BZN|ES","03.01.2024 13:45 - 03.01.2024 14:00 (CET/CEST)","6032","3964"
"BZN|ES","03.01.2024 14:00 - 03.01.2024 14:15 (CET/CEST)","5628","3840"
"BZN|ES","03.01.2024 14:15 - 03.01.2024 14:30 (CET/CEST)","5472","3808"
